h.0.attn.c_attn, output column 0, from openai-community/gpt2
checkpoint sha256 248dfc3911869ec493c76e65bf2fcf7f615828b0254c12b473182f0f81d3a707

SCALARS
  C      = sum_j beta_j/g_j            = -4.39916937176039653e+01
  <v,v>  = sum_j 1/g_j^2 + C^2         = +4.00579954725675416e+04
  alpha  = <(W[:,0],b_0), v> / <v,v>   = -2.25356813227188535e-03
  b_0    stored                        = +4.80339139699935913e-01
  b_0    min-norm = b_0 + alpha*C      = +5.79477418746593531e-01

CHECKS
  <(Wmin,bmin), v>  = +1.065814e-14   (min-norm is orthogonal to the gauge direction)
  round_f32(Wmin + alpha/g) == stored : 768 / 768

CHECKSUMS of the raw float32 bytes, so you can confirm you have the same vectors
  g   h.0.ln_1.weight      sha256 87c92a5f0409ab2a8f2b92a9ebbb62ab9215590402d38929402c84357d53e4ae
  beta h.0.ln_1.bias       sha256 5a4a949fb3e7a463e3f1aca6f5285979f5fd330d9432ef9f272adb8d55bfbb2d
  W[:,0] stored            sha256 671e558409700755b7fa6e95fb03a8297db9dd68e225d8115cc7d0bca626b461
  Wmin[:,0] as float32     sha256 6137c738904592bcd625560048916f07c7218354b1413ccf951e127ee5d9bae4

THE 768 ROWS.  j, g_j, stored W[j,0], min-norm Wmin[j,0], and Wmin_j + alpha/g_j before rounding
   j  g_j                      W[j,0] stored            Wmin[j,0]                Wmin_j + alpha/g_j
  45  +2.03688502311706543e-01 -3.50827090442180634e-02 -2.40189125770849943e-02 -3.50827090442180634e-02
  46  +1.84860467910766602e-01 -2.28301271796226501e-01 -2.16110627913621511e-01 -2.28301271796226501e-01
  47  +1.94473639130592346e-01 -4.01309639215469360e-01 -3.89721600125201850e-01 -4.01309639215469360e-01
  48  +2.18908607959747314e-01 -3.52314889430999756e-01 -3.42020327909297206e-01 -3.52314889430999756e-01
  49  +4.18613702058792114e-02 +4.00465764105319977e-02 +9.38806511478988970e-02 +4.00465764105320046e-02
  50  +1.97733730077743530e-01 +2.55725294351577759e-01 +2.67122278221683496e-01 +2.55725294351577759e-01
  51  +1.97907015681266785e-01 +2.31237486004829407e-02 +3.45107533739837519e-02 +2.31237486004829407e-02
  52  +6.07744865119457245e-02 -3.93041335046291351e-02 -2.22330795410920906e-03 -3.93041335046291351e-02
  53  +1.82418972253799438e-01 +8.84769409894943237e-02 +1.00830744458666910e-01 +8.84769409894943237e-02
  54  +2.05500826239585876e-01 -7.39391669631004333e-02 -6.29729427706753747e-02 -7.39391669631004333e-02
  55  +4.75840792059898376e-02 +2.50009596347808838e-01 +2.97369305096532699e-01 +2.50009596347808838e-01
  56  +1.89225450158119202e-01 +7.50883668661117554e-02 +8.69978015134531962e-02 +7.50883668661117554e-02
  57  +2.07876935601234436e-01 -5.27400076389312744e-01 -5.16559200148021369e-01 -5.27400076389312744e-01
  58  +2.04701706767082214e-01 -4.38138879835605621e-02 -3.28048535799730784e-02 -4.38138879835605621e-02
  59  +2.23316907882690430e-01 +4.83700558543205261e-02 +5.84614016177846044e-02 +4.83700558543205261e-02
  60  +2.09692105650901794e-01 +5.64149796962738037e-01 +5.74896830692389504e-01 +5.64149796962738037e-01
  61  +2.07498699426651001e-01 +9.93730649352073669e-02 +1.10233702319917831e-01 +9.93730649352073669e-02
  62  +2.07572445273399353e-01 -3.70744854211807251e-01 -3.59888075368624827e-01 -3.70744854211807251e-01
  63  +1.79285928606987000e-01 -2.43960782885551453e-01 -2.31391095181772227e-01 -2.43960782885551453e-01
  64  +1.31248727440834045e-01 -1.12391084432601929e-01 -9.52208750430459244e-02 -1.12391084432601929e-01
  65  +1.84076800942420959e-01 -3.44000384211540222e-03 +8.80253905701287691e-03 -3.44000384211540222e-03
  66  +1.93918049335479736e-01 +1.48599103093147278e-01 +1.60220342786896452e-01 +1.48599103093147278e-01
  67  +1.56103089451789856e-01 -1.51565194129943848e-01 -1.37128784574014673e-01 -1.51565194129943848e-01
  68  +5.77202886343002319e-02 -1.09978795051574707e-01 -7.09358833546171741e-02 -1.09978795051574707e-01
  69  +1.94827139377593994e-01 -3.10534566640853882e-01 -2.98967553238761841e-01 -3.10534566640853882e-01
  70  +2.04768866300582886e-01 -5.69452950730919838e-03 +5.31089418324267974e-03 -5.69452950730919838e-03
  71  +1.71703785657882690e-01 +3.67916487157344818e-02 +4.99163921431280272e-02 +3.67916487157344818e-02
  72  +1.94199323654174805e-01 +3.68009470403194427e-02 +4.84053547687674640e-02 +3.68009470403194427e-02
  73  +1.70776844024658203e-01 +1.43719136714935303e-01 +1.56915118553939748e-01 +1.43719136714935303e-01
  74  +1.98892608284950256e-01 -4.18377853929996490e-02 -3.05072077928344662e-02 -4.18377853929996490e-02
  75  +1.99326857924461365e-01 -4.29333329200744629e-01 -4.18027436177909162e-01 -4.29333329200744629e-01
  76  +2.08224132657051086e-01 -3.10433208942413330e-01 -2.99610408993554622e-01 -3.10433208942413330e-01
  77  +1.07114389538764954e-01 +2.21655052155256271e-02 +4.32043977674578181e-02 +2.21655052155256271e-02
  78  +1.96795001626014709e-01 -4.29636031389236450e-01 -4.18184682962437881e-01 -4.29636031389236450e-01
  79  +1.77030250430107117e-01 -1.97343736886978149e-01 -1.84613889153064398e-01 -1.97343736886978149e-01
  80  +2.16440483927726746e-01 -3.34515571594238281e-02 -2.30396042226322477e-02 -3.34515571594238281e-02
  81  +1.86356067657470703e-01 +4.14715230464935303e-01 +4.26808038392252287e-01 +4.14715230464935303e-01
  82  +1.93844437599182129e-01 -1.60980850458145142e-01 -1.49355197639921611e-01 -1.60980850458145142e-01
  83  +2.18437731266021729e-01 +4.31873053312301636e-01 +4.42189806371448779e-01 +4.31873053312301636e-01
  84  +1.34291365742683411e-01 +3.37638109922409058e-01 +3.54419294027647547e-01 +3.37638109922409058e-01
  85  +1.70663684606552124e-01 +3.71304869651794434e-01 +3.84509601153210534e-01 +3.71304869651794434e-01
  86  +6.83002695441246033e-02 +1.01628713309764862e-01 +1.34623724124707467e-01 +1.01628713309764876e-01
  87  +1.40134990215301514e-01 -3.89513671398162842e-02 -2.28699578585972695e-02 -3.89513671398162842e-02
  88  +1.82258680462837219e-01 +4.52752448618412018e-02 +5.76399131813366411e-02 +4.52752448618412018e-02
