h.0.attn.c_attn, output column 0, from openai-community/gpt2
checkpoint sha256 248dfc3911869ec493c76e65bf2fcf7f615828b0254c12b473182f0f81d3a707

SCALARS
  C      = sum_j beta_j/g_j            = -4.39916937176039653e+01
  <v,v>  = sum_j 1/g_j^2 + C^2         = +4.00579954725675416e+04
  alpha  = <(W[:,0],b_0), v> / <v,v>   = -2.25356813227188535e-03
  b_0    stored                        = +4.80339139699935913e-01
  b_0    min-norm = b_0 + alpha*C      = +5.79477418746593531e-01

CHECKS
  <(Wmin,bmin), v>  = +1.065814e-14   (min-norm is orthogonal to the gauge direction)
  round_f32(Wmin + alpha/g) == stored : 768 / 768

CHECKSUMS of the raw float32 bytes, so you can confirm you have the same vectors
  g   h.0.ln_1.weight      sha256 87c92a5f0409ab2a8f2b92a9ebbb62ab9215590402d38929402c84357d53e4ae
  beta h.0.ln_1.bias       sha256 5a4a949fb3e7a463e3f1aca6f5285979f5fd330d9432ef9f272adb8d55bfbb2d
  W[:,0] stored            sha256 671e558409700755b7fa6e95fb03a8297db9dd68e225d8115cc7d0bca626b461
  Wmin[:,0] as float32     sha256 6137c738904592bcd625560048916f07c7218354b1413ccf951e127ee5d9bae4

THE 768 ROWS.  j, g_j, stored W[j,0], min-norm Wmin[j,0], and Wmin_j + alpha/g_j before rounding
   j  g_j                      W[j,0] stored            Wmin[j,0]                Wmin_j + alpha/g_j
 190  +1.92881852388381958e-01 -2.95814186334609985e-01 -2.84130515194132960e-01 -2.95814186334609985e-01
 191  +1.37838616967201233e-01 -1.34460210800170898e-01 -1.18110887353258170e-01 -1.34460210800170898e-01
 192  +1.94388762116432190e-01 -2.26799830794334412e-01 -2.15206731956027714e-01 -2.26799830794334412e-01
 193  +1.80251210927963257e-01 -3.55543829500675201e-02 -2.30520085101392595e-02 -3.55543829500675201e-02
 194  +1.83894917368888855e-01 -1.32481440901756287e-01 -1.20226789362087680e-01 -1.32481440901756287e-01
 195  +1.61678582429885864e-01 -1.80999353528022766e-01 -1.67060784186290834e-01 -1.80999353528022766e-01
 196  +1.91900163888931274e-01 +1.74904987215995789e-01 +1.86648427589377719e-01 +1.74904987215995789e-01
 197  +1.70990213751792908e-01 -3.05723339319229126e-01 -2.92543824054436630e-01 -3.05723339319229126e-01
 198  +1.86145901679992676e-01 +2.68256217241287231e-01 +2.80362678420035316e-01 +2.68256217241287231e-01
 199  +1.58857598900794983e-01 +3.01598072052001953e-01 +3.15784161655932205e-01 +3.01598072052001953e-01
 200  +2.09175422787666321e-01 -3.32963883876800537e-01 -3.22190303968421521e-01 -3.32963883876800537e-01
 201  +2.25231081247329712e-01 +2.42125511169433594e-01 +2.52131093524193994e-01 +2.42125511169433594e-01
 202  +1.94913983345031738e-01 -2.40385323762893677e-01 -2.28823464046124775e-01 -2.40385323762893677e-01
 203  +2.08013564348220825e-01 +2.98248231410980225e-01 +3.09081987081352483e-01 +2.98248231410980225e-01
 204  +1.77533403038978577e-01 -7.18564838171005249e-02 -5.91627141168875464e-02 -7.18564838171005249e-02
 205  +1.98421165347099304e-01 +2.43317484855651855e-01 +2.54674983579791014e-01 +2.43317484855651855e-01
 206  +1.84202715754508972e-01 +5.40930330753326416e-01 +5.53164505059829392e-01 +5.40930330753326416e-01
 207  +1.91931813955307007e-01 +5.88823817670345306e-02 +7.06238856158787343e-02 +5.88823817670345376e-02
 208  +2.26062953472137451e-01 +2.70676374435424805e-01 +2.80645137992916072e-01 +2.70676374435424805e-01
 209  +1.95321828126907349e-01 +1.20749019086360931e-01 +1.32286736882078398e-01 +1.20749019086360945e-01
 210  +1.94048166275024414e-01 -1.30856215953826904e-01 -1.19242768759082976e-01 -1.30856215953826904e-01
 211  +2.49564230442047119e-01 -9.68609973788261414e-02 -8.78309848314342556e-02 -9.68609973788261414e-02
 212  +2.15335205197334290e-01 -3.41233640909194946e-01 -3.30768245201109479e-01 -3.41233640909194946e-01
 213  +5.01118116080760956e-02 -1.85658261179924011e-01 -1.40687463678188962e-01 -1.85658261179924011e-01
 214  +1.79684638977050781e-01 -1.47317036986351013e-01 -1.34775240730969886e-01 -1.47317036986351013e-01
 215  +2.04998284578323364e-01 +1.99790731072425842e-01 +2.10783838341139923e-01 +1.99790731072425842e-01
 216  +2.27912336587905884e-01 -2.38196790218353271e-01 -2.28308917688018864e-01 -2.38196790218353271e-01
 217  +1.99277698993682861e-01 -5.54654538631439209e-01 -5.43345856608051681e-01 -5.54654538631439209e-01
 218  +2.05573976039886475e-01 +8.10766443610191345e-02 +9.20389664198902335e-02 +8.10766443610191345e-02
 219  +2.08116516470909119e-01 -3.25378812849521637e-02 -2.17094849111982673e-02 -3.25378812849521637e-02
 220  +1.78296461701393127e-01 +1.74299832433462143e-02 +3.00694271827672346e-02 +1.74299832433462143e-02
 221  +1.78903713822364807e-01 -5.08954701945185661e-03 +7.50699490873569728e-03 -5.08954701945185661e-03
 222  +1.94805428385734558e-01 +1.55955836176872253e-01 +1.67524138718265464e-01 +1.55955836176872253e-01
 223  +1.90907090902328491e-01 -1.10038079321384430e-01 -9.82335511521041649e-02 -1.10038079321384430e-01
 224  +1.65660709142684937e-01 -1.25809222459793091e-01 -1.12205706309618528e-01 -1.25809222459793091e-01
 225  +1.89352765679359436e-01 -2.91377931833267212e-01 -2.79476504757794952e-01 -2.91377931833267212e-01
 226  +1.90090999007225037e-01 +2.84526258707046509e-01 +2.96381465655515597e-01 +2.84526258707046509e-01
 227  +1.93855047225952148e-01 -3.54740917682647705e-01 -3.43115901132806767e-01 -3.54740917682647705e-01
 228  +1.99707224965095520e-01 -4.06679175794124603e-02 -2.93835580242398295e-02 -4.06679175794124603e-02
 229  +1.93870335817337036e-01 +3.12515228986740112e-01 +3.24139328789172898e-01 +3.12515228986740112e-01
 230  +1.78984597325325012e-01 +3.46139306202530861e-03 +1.60522425873381898e-02 +3.46139306202530861e-03
 231  +2.07149282097816467e-01 +2.48559653759002686e-01 +2.59438610757790400e-01 +2.48559653759002713e-01
 232  +1.21692977845668793e-01 +2.08262484520673752e-02 +3.93447215157297983e-02 +2.08262484520673752e-02
 233  +1.81119188666343689e-01 -5.66513799130916595e-02 -4.42089206194858850e-02 -5.66513799130916595e-02
 234  +1.74333006143569946e-01 -6.68696239590644836e-02 -5.39428226486116311e-02 -6.68696239590644836e-02
 235  +2.20166221261024475e-01 +1.55319169163703918e-01 +1.65554927035026528e-01 +1.55319169163703918e-01
 236  +1.91029995679855347e-01 +3.32459867000579834e-01 +3.44256800378773542e-01 +3.32459867000579834e-01
 237  +1.88428327441215515e-01 -2.22636386752128601e-01 -2.10676570715577854e-01 -2.22636386752128601e-01
 238  +2.24574685096740723e-01 +3.80349397659301758e-01 +3.90384224742777841e-01 +3.80349397659301758e-01
 239  +1.92923307418823242e-01 -3.83710376918315887e-02 -2.66898771186327086e-02 -3.83710376918315887e-02
 240  +2.05740272998809814e-01 +2.08602815866470337e-01 +2.19556277235139374e-01 +2.08602815866470337e-01
 241  +1.75092637538909912e-01 -1.68166071176528931e-01 -1.55295352202002745e-01 -1.68166071176528931e-01
 242  +1.96759596467018127e-01 +9.82144549489021301e-02 +1.09667863945142066e-01 +9.82144549489021301e-02
 243  +1.79892286658287048e-01 +2.70733445882797241e-01 +2.83260765281169391e-01 +2.70733445882797241e-01
 244  +1.80710464715957642e-01 -5.76214678585529327e-02 -4.51508666910219597e-02 -5.76214678585529327e-02
 245  +1.85581848025321960e-01 +5.28776288032531738e-01 +5.40919545340565411e-01 +5.28776288032531738e-01
 246  +1.96766495704650879e-01 -4.04575973749160767e-01 -3.93122966344615021e-01 -4.04575973749160767e-01
 247  +2.12620347738265991e-01 +5.93587057664990425e-03 +1.65348944059496780e-02 +5.93587057664990599e-03
 248  +1.74376592040061951e-01 +2.06956505775451660e-01 +2.19880075997274438e-01 +2.06956505775451660e-01
 249  +2.28717014193534851e-01 -1.60944253206253052e-01 -1.51091168422779226e-01 -1.60944253206253052e-01
 250  +1.81311920285224915e-01 +9.97690949589014053e-03 +2.24061426578728642e-02 +9.97690949589014227e-03
 251  +2.12995544075965881e-01 -2.43351340293884277e-01 -2.32770986878283542e-01 -2.43351340293884277e-01
 252  +2.16326043009757996e-01 -1.73298388719558716e-01 -1.62880927645904117e-01 -1.73298388719558716e-01
 253  +2.27356672286987305e-01 -7.40408822894096375e-02 -6.41288435988219413e-02 -7.40408822894096375e-02
 254  +1.85484305024147034e-01 +3.13074082136154175e-01 +3.25223725374047035e-01 +3.13074082136154175e-01
 255  +1.66335403919219971e-01 +4.10307608544826508e-02 +5.45790980044397328e-02 +4.10307608544826508e-02
 256  +1.71356335282325745e-01 +1.42900109291076660e-01 +1.56051465081680607e-01 +1.42900109291076660e-01
 257  +1.80558606982231140e-01 -4.41228628158569336e-01 -4.28747538666703343e-01 -4.41228628158569336e-01
 258  +1.86966851353645325e-01 -3.53032127022743225e-02 -2.32499095848714907e-02 -3.53032127022743225e-02
 259  +2.16210454702377319e-01 -3.74596089124679565e-01 -3.64173058770416558e-01 -3.74596089124679565e-01
 260  +1.91810652613639832e-01 -8.27967226505279541e-02 -7.10478020271713417e-02 -8.27967226505279541e-02
 261  +1.62128299474716187e-01 +4.71333503723144531e-01 +4.85233409782563407e-01 +4.71333503723144531e-01
 262  +1.80166974663734436e-01 -6.20057247579097748e-02 -4.94975048886581032e-02 -6.20057247579097748e-02
 263  +2.12031975388526917e-01 -1.06225788593292236e-01 -9.55973532917654134e-02 -1.06225788593292236e-01
 264  +1.64546951651573181e-01 +3.01925957202911377e-01 +3.15621550525380212e-01 +3.01925957202911377e-01
 265  +2.07520782947540283e-01 -4.68951225280761719e-01 -4.58091743641076632e-01 -4.68951225280761719e-01
 266  +1.61223843693733215e-01 +4.97393426485359669e-04 +1.44752770982879420e-02 +4.97393426485359669e-04
 267  +1.75665289163589478e-01 +8.42691585421562195e-02 +9.70979202343607295e-02 +8.42691585421562195e-02
 268  +1.96797490119934082e-01 +2.81936656683683395e-02 +3.96448692934679020e-02 +2.81936656683683361e-02
 269  +2.06716820597648621e-01 +2.24621981382369995e-01 +2.35523697680813882e-01 +2.24621981382369995e-01
 270  +4.29706983268260956e-02 -3.80864918231964111e-01 -3.28420619674567649e-01 -3.80864918231964111e-01
 271  +7.15372487902641296e-02 -2.72830694913864136e-01 -2.41328670858130756e-01 -2.72830694913864136e-01
 272  +1.99215874075889587e-01 -4.03129816055297852e-01 -3.91817624480577220e-01 -4.03129816055297852e-01
 273  +1.71253055334091187e-01 +3.74104738235473633e-01 +3.87264025396076295e-01 +3.74104738235473633e-01
 274  +2.13010177016258240e-01 -3.26442599296569824e-01 -3.15862972708588152e-01 -3.26442599296569824e-01
 275  +2.07816779613494873e-01 -1.10559411346912384e-01 -9.97153970355408314e-02 -1.10559411346912384e-01
 276  +4.92497906088829041e-02 -1.63782134652137756e-01 -1.18024211533873324e-01 -1.63782134652137756e-01
 277  +1.84607744216918945e-01 +1.69126972556114197e-01 +1.81334305145714997e-01 +1.69126972556114197e-01
 278  +2.04879611730575562e-01 -3.45826834440231323e-01 -3.34827359610908593e-01 -3.45826834440231323e-01
 279  +1.99542447924613953e-01 +4.14806343615055084e-02 +5.27743122516518282e-02 +4.14806343615055084e-02
 280  +1.91405236721038818e-01 -4.58615183830261230e-01 -4.46841377789853278e-01 -4.58615183830261230e-01
 281  +1.97500273585319519e-01 -3.17316740751266479e-01 -3.05906285001703415e-01 -3.17316740751266479e-01
 282  +1.75807893276214600e-01 -1.54355734586715698e-01 -1.41537378765050348e-01 -1.54355734586715698e-01
 283  +2.05663755536079407e-01 -2.28419139981269836e-01 -2.17461603363318962e-01 -2.28419139981269836e-01
 284  +1.66308939456939697e-01 +7.88133293390274048e-02 +9.23638224131256430e-02 +7.88133293390274048e-02
 285  +2.20431968569755554e-01 -3.81707698106765747e-01 -3.71484280211013707e-01 -3.81707698106765747e-01
 286  +2.04497724771499634e-01 +1.00701890885829926e-01 +1.11721906559793846e-01 +1.00701890885829926e-01
 287  +1.87660276889801025e-01 -5.78252375125885010e-02 -4.58164726870136235e-02 -5.78252375125885010e-02
 288  +6.08041100203990936e-02 -7.40890130400657654e-02 -3.70262531128858624e-02 -7.40890130400657654e-02
 289  +5.50526604056358337e-02 -1.88506033737212420e-03 +3.90497122179825976e-02 -1.88506033737212420e-03
 290  +2.21227169036865234e-01 -4.07934010028839111e-01 -3.97747340181355991e-01 -4.07934010028839111e-01
 291  +1.94887503981590271e-01 -1.48008584976196289e-01 -1.36445154349649989e-01 -1.48008584976196289e-01
 292  +1.89138442277908325e-01 -3.35365951061248779e-01 -3.23451037809713016e-01 -3.35365951061248779e-01
 293  +2.02529191970825195e-01 +8.68208929896354675e-02 +9.79480204439163171e-02 +8.68208929896354675e-02
 294  +1.97855576872825623e-01 -6.96021988987922668e-02 -5.82122337136289636e-02 -6.96021988987922668e-02
 295  +1.85056284070014954e-01 -1.15009069442749023e-01 -1.02831325014360625e-01 -1.15009069442749023e-01
 296  +1.90960586071014404e-01 +2.04112790524959564e-02 +3.22125003340112334e-02 +2.04112790524959564e-02
 297  +1.71288356184959412e-01 +6.26032888889312744e-01 +6.39189464049847555e-01 +6.26032888889312744e-01
 298  +1.88440829515457153e-01 -1.61197334527969360e-01 -1.49238311963344999e-01 -1.61197334527969360e-01
 299  +1.98657765984535217e-01 -2.79320597648620605e-01 -2.67976625661905943e-01 -2.79320597648620605e-01
 300  +6.43446668982505798e-02 -1.28167793154716492e-01 -9.31444067436018874e-02 -1.28167793154716492e-01
 301  +1.91424518823623657e-01 +1.67365059256553650e-01 +1.79137679326965310e-01 +1.67365059256553650e-01
 302  +2.39468276500701904e-01 +7.01423287391662598e-02 +7.95530455372440160e-02 +7.01423287391662598e-02
 303  +1.83134481310844421e-01 +7.80942710116505623e-03 +2.01149640821925574e-02 +7.80942710116505796e-03
 304  +1.90202713012695312e-01 +2.21967160701751709e-01 +2.33815404591529802e-01 +2.21967160701751709e-01
 305  +1.74116507172584534e-01 +4.15367633104324341e-01 +4.28310507785575223e-01 +4.15367633104324341e-01
 306  +1.91949069499969482e-01 +4.03220087289810181e-01 +4.14960535618851156e-01 +4.03220087289810181e-01
 307  +1.81152835488319397e-01 +8.62357467412948608e-02 +9.86758950072445518e-02 +8.62357467412948608e-02
 308  +6.81138709187507629e-02 -1.65084034204483032e-01 -1.31998730111869633e-01 -1.65084034204483032e-01
 309  +2.02411189675331116e-01 -4.80004936456680298e-01 -4.68871322075545438e-01 -4.80004936456680298e-01
 310  +1.95913299918174744e-01 +8.78637731075286865e-02 +9.93666579714614084e-02 +8.78637731075286865e-02
 311  +5.26083745062351227e-02 -6.82887155562639236e-03 +3.60078089809447097e-02 -6.82887155562639236e-03
 312  +1.89307302236557007e-01 -3.05423319339752197e-01 -2.93519034055205463e-01 -3.05423319339752197e-01
 313  +2.06468164920806885e-01 -2.41238474845886230e-01 -2.30323629290222653e-01 -2.41238474845886230e-01
 314  +9.69159454107284546e-02 -7.22116902470588684e-02 -4.89588795488678230e-02 -7.22116902470588684e-02
 315  +1.98769256472587585e-01 +6.87318220734596252e-02 +8.00694311799397124e-02 +6.87318220734596252e-02
 316  +1.93956270813941956e-01 +1.43059557303786278e-02 +2.59249053153275191e-02 +1.43059557303786295e-02
 317  +1.95620164275169373e-01 +9.79133844375610352e-02 +1.09433506305477990e-01 +9.79133844375610352e-02
 318  +2.08510681986808777e-01 -8.66684764623641968e-02 -7.58605499293031477e-02 -8.66684764623641968e-02
 319  +2.01187148690223694e-01 -2.51109957695007324e-01 -2.39908605387252338e-01 -2.51109957695007324e-01
 320  +6.78061097860336304e-02 -3.78437638282775879e-02 -4.60829080994400175e-03 -3.78437638282775879e-02
 321  +1.81223466992378235e-01 +4.75854016840457916e-02 +6.00207014256993604e-02 +4.75854016840457916e-02
 322  +1.82145819067955017e-01 +1.97837322950363159e-01 +2.10209652679387154e-01 +1.97837322950363159e-01
 323  +1.73625931143760681e-01 -2.75459769181907177e-03 +1.02248467807116560e-02 -2.75459769181907177e-03
 324  +1.89212366938591003e-01 +3.59958201646804810e-01 +3.71868459780213600e-01 +3.59958201646804810e-01
 325  +1.93274527788162231e-01 +2.05794423818588257e-01 +2.17454357272115567e-01 +2.05794423818588257e-01
 326  +8.39385837316513062e-02 -1.24356925487518311e-01 -9.75091037578062203e-02 -1.24356925487518311e-01
 327  +1.73793420195579529e-01 +2.33065664768218994e-01 +2.46032600626526043e-01 +2.33065664768218994e-01
 328  +2.09303006529808044e-01 -2.07115653902292252e-02 -9.94455267676903031e-03 -2.07115653902292252e-02
 329  +1.90802663564682007e-01 +3.54482322931289673e-01 +3.66293311783171871e-01 +3.54482322931289673e-01
 330  +1.71412423253059387e-01 +3.23000013828277588e-01 +3.36147066355181656e-01 +3.23000013828277588e-01
 331  +1.97547301650047302e-01 -8.50399211049079895e-02 -7.36321817257892808e-02 -8.50399211049079895e-02
 332  +2.01441675424575806e-01 -3.46940040588378906e-01 -3.35752841477161890e-01 -3.46940040588378906e-01
 333  +1.89082548022270203e-01 +1.54308155179023743e-01 +1.66226590570567434e-01 +1.54308155179023743e-01
 334  +1.95303365588188171e-01 +1.42470002174377441e-01 +1.54008810660779594e-01 +1.42470002174377441e-01
 335  +2.01916813850402832e-01 +2.56639212369918823e-01 +2.67800086441265461e-01 +2.56639212369918823e-01
 336  +2.16465994715690613e-01 +9.45846438407897949e-02 +1.04995369715917441e-01 +9.45846438407897949e-02
 337  +1.87018036842346191e-01 +1.46996259689331055e-01 +1.59046263904548096e-01 +1.46996259689331055e-01
 338  +1.93474635481834412e-01 -4.06878560781478882e-01 -3.95230687008983894e-01 -4.06878560781478882e-01
 339  +2.16367080807685852e-01 -1.67264118790626526e-02 -6.31092665894762879e-03 -1.67264118790626526e-02
 340  +1.84567078948020935e-01 -5.84418714046478271e-01 -5.72208691841453509e-01 -5.84418714046478271e-01
 341  +1.84070616960525513e-01 -1.39597252011299133e-01 -1.27354297815327866e-01 -1.39597252011299133e-01
 342  +1.76189988851547241e-01 -1.03862710297107697e-01 -9.10721530868982138e-02 -1.03862710297107697e-01
 343  +2.34938234090805054e-01 -6.36250972747802734e-01 -6.26658799975273628e-01 -6.36250972747802734e-01
 344  +1.90488591790199280e-01 +3.63553673028945923e-01 +3.75384135478654846e-01 +3.63553673028945923e-01
 345  +1.66658148169517517e-01 -3.11587065458297729e-01 -2.98064965536848636e-01 -3.11587065458297729e-01
 346  +1.91016852855682373e-01 -3.78227561712265015e-01 -3.66429816651652418e-01 -3.78227561712265015e-01
 347  +2.09326297044754028e-01 +1.26903474330902100e-01 +1.37669289061719574e-01 +1.26903474330902100e-01
 348  +1.94370821118354797e-01 -2.88416028022766113e-01 -2.76821859107362622e-01 -2.88416028022766113e-01
 349  +2.07198709249496460e-01 -9.53198969364166260e-02 -8.44435351075489005e-02 -9.53198969364166260e-02
 350  +2.02704071998596191e-01 -2.72272974252700806e-01 -2.61155446567872207e-01 -2.72272974252700806e-01
 351  +5.04313148558139801e-02 -1.23053751885890961e-02 +3.23805137023701409e-02 -1.23053751885890961e-02
 352  +1.93862915039062500e-01 +3.20198200643062592e-02 +4.36443648196443365e-02 +3.20198200643062592e-02
 353  +2.01329603791236877e-01 +9.37885344028472900e-02 +1.04981960952321152e-01 +9.37885344028472900e-02
 354  +1.84467658400535583e-01 -2.52714157104492188e-01 -2.40497554195278157e-01 -2.52714157104492188e-01
 355  +1.91903874278068542e-01 +1.63788184523582458e-01 +1.75531397841967418e-01 +1.63788184523582458e-01
 356  +6.85876309871673584e-02 -4.94237942621111870e-03 +2.79143922662464378e-02 -4.94237942621111870e-03
 357  +1.73353597521781921e-01 +4.42646294832229614e-01 +4.55646129646668507e-01 +4.42646294832229614e-01
 358  +1.74230128526687622e-01 +5.21031618118286133e-01 +5.33966052313613604e-01 +5.21031618118286133e-01
 359  +1.93747565150260925e-01 +2.27415323257446289e-01 +2.39046788822054185e-01 +2.27415323257446289e-01
 360  +2.19359636306762695e-01 +9.73403304815292358e-02 +1.07613725214552911e-01 +9.73403304815292358e-02
 361  +6.26149848103523254e-02 +1.19476892054080963e-01 +1.55467767706250676e-01 +1.19476892054080963e-01
 362  +8.35502892732620239e-02 -1.10476508736610413e-01 -8.35039135263018206e-02 -1.10476508736610413e-01
 363  +1.88046023249626160e-01 -2.00034752488136292e-01 -1.88050621724145967e-01 -2.00034752488136292e-01
 364  +1.77233725786209106e-01 -7.70863071084022522e-02 -6.43710740325581787e-02 -7.70863071084022522e-02
 365  +5.83049133419990540e-02 -1.66206419467926025e-01 -1.27554991944946378e-01 -1.66206419467926025e-01
 366  +2.10419625043869019e-01 -1.53904810547828674e-01 -1.43194934357325748e-01 -1.53904810547828674e-01
 367  +1.74778804183006287e-01 +1.06503695249557495e-01 +1.19397524926480064e-01 +1.06503695249557495e-01
 368  +1.76258981227874756e-01 -1.85583680868148804e-01 -1.72798130216642531e-01 -1.85583680868148804e-01
 369  +1.86451837420463562e-01 +6.45651761442422867e-03 +1.85431141502894782e-02 +6.45651761442422867e-03
 370  +2.02663347125053406e-01 +1.92132949829101562e-01 +2.03252711563231631e-01 +1.92132949829101562e-01
 371  +1.95103362202644348e-01 +9.48011353611946106e-02 +1.06351772453400203e-01 +9.48011353611946106e-02
 372  +2.06127509474754333e-01 +1.70464053750038147e-01 +1.81396937662594682e-01 +1.70464053750038147e-01
 373  +1.50254279375076294e-01 +7.52082318067550659e-02 +9.02065941938013233e-02 +7.52082318067550659e-02
 374  +8.95344614982604980e-02 +1.93326011300086975e-01 +2.18495851991156176e-01 +1.93326011300086975e-01
 375  +1.83130204677581787e-01 -2.78123199939727783e-01 -2.65817375587925675e-01 -2.78123199939727783e-01
 376  +1.98718264698982239e-01 -5.10866492986679077e-02 -3.97461309236429305e-02 -5.10866492986679077e-02
 377  +4.82314489781856537e-02 -2.67535954713821411e-01 -2.20811915108643064e-01 -2.67535954713821411e-01
 378  +1.98997691273689270e-01 -2.11535677313804626e-01 -2.00211082953699882e-01 -2.11535677313804626e-01
 379  +2.25230246782302856e-01 +3.04035693407058716e-01 +3.14041312831922548e-01 +3.04035693407058716e-01
 380  +2.00758308172225952e-01 +2.50779479742050171e-01 +2.62004759297298273e-01 +2.50779479742050171e-01
 381  +1.84214562177658081e-01 -9.14369449019432068e-02 -7.92035573476057575e-02 -9.14369449019432068e-02
 382  +1.81186497211456299e-01 +8.53018984198570251e-02 +9.77397354935647111e-02 +8.53018984198570251e-02
 383  +2.10806280374526978e-01 -9.30169448256492615e-02 -8.23267124081515228e-02 -9.30169448256492615e-02
 384  +2.15307638049125671e-01 -3.14577937126159668e-01 -3.04111201469723258e-01 -3.14577937126159668e-01
 385  +1.85350984334945679e-01 +2.50803411006927490e-01 +2.62961793334153149e-01 +2.50803411006927490e-01
 386  +2.34673380851745605e-01 -4.11599092185497284e-02 -3.15569106846189801e-02 -4.11599092185497284e-02
 387  +1.96253895759582520e-01 +1.87569603323936462e-01 +1.99052525094990523e-01 +1.87569603323936462e-01
 388  +2.03605085611343384e-01 +1.58022776246070862e-01 +1.69091105534140140e-01 +1.58022776246070862e-01
 389  +1.30200237035751343e-01 +5.33954650163650513e-02 +7.07039445059460397e-02 +5.33954650163650513e-02
 390  +2.04795733094215393e-01 +3.36225122213363647e-01 +3.47229102121651756e-01 +3.36225122213363647e-01
 391  +2.01690599322319031e-01 +3.22257637977600098e-01 +3.33431029994104011e-01 +3.22257637977600098e-01
 392  +2.27041408419609070e-01 -1.12626351416110992e-01 -1.02700549123222962e-01 -1.12626351416110992e-01
 393  +1.64041087031364441e-01 +3.58933478593826294e-01 +3.72671305945829923e-01 +3.58933478593826294e-01
 394  +1.78705662488937378e-01 -2.22545459866523743e-01 -2.09934957765554264e-01 -2.22545459866523743e-01
 395  +1.70694455504417419e-01 +1.13468192517757416e-01 +1.26670543617049935e-01 +1.13468192517757402e-01
 396  +2.16832280158996582e-01 -6.01717948913574219e-01 -5.91324809429824794e-01 -6.01717948913574219e-01
 397  +1.83071210980415344e-01 +1.56462565064430237e-01 +1.68772354900872446e-01 +1.56462565064430237e-01
 398  +1.92806079983711243e-01 -3.90755027532577515e-01 -3.79066764732658157e-01 -3.90755027532577515e-01
 399  +1.78913325071334839e-01 -1.52227535843849182e-01 -1.39631670603664521e-01 -1.52227535843849182e-01
 400  +1.78321182727813721e-01 -1.00559704005718231e-01 -8.79220122979882945e-02 -1.00559704005718231e-01
 401  +1.88078165054321289e-01 -1.56334772706031799e-01 -1.44352689981963295e-01 -1.56334772706031799e-01
 402  +6.46947249770164490e-02 -1.44493564963340759e-01 -1.09659687347005097e-01 -1.44493564963340759e-01
 403  +1.86977341771125793e-01 -2.47970148921012878e-01 -2.35917522057644491e-01 -2.47970148921012878e-01
 404  +1.86021223664283752e-01 +8.74531939625740051e-02 +9.95677693205930664e-02 +8.74531939625740051e-02
 405  +1.68982699513435364e-01 -3.36838155984878540e-01 -3.23502068096824025e-01 -3.36838155984878540e-01
 406  +1.92430764436721802e-01 -4.97651025652885437e-02 -3.80540430636102656e-02 -4.97651025652885437e-02
 407  +1.87391877174377441e-01 +1.38709023594856262e-01 +1.50734988467254805e-01 +1.38709023594856262e-01
 408  +5.77340535819530487e-02 -1.38277232646942139e-01 -9.92436295573381477e-02 -1.38277232646942139e-01
 409  +1.90372005105018616e-01 -3.85488867759704590e-01 -3.73651160156484752e-01 -3.85488867759704590e-01
 410  +1.99137449264526367e-01 -3.71074676513671875e-01 -3.59758029943200164e-01 -3.71074676513671875e-01
 411  +1.97877958416938782e-01 -1.56028047204017639e-01 -1.44639370312963894e-01 -1.56028047204017639e-01
 412  +2.13684543967247009e-01 +8.04952904582023621e-03 +1.85957673952691603e-02 +8.04952904582023621e-03
 413  +1.96912258863449097e-01 +1.85391515493392944e-01 +1.96836044875561306e-01 +1.85391515493392944e-01
 414  +2.31169402599334717e-01 +1.57645985484123230e-01 +1.67394542632829435e-01 +1.57645985484123230e-01
 415  +2.32893824577331543e-01 -8.14478620886802673e-02 -7.17714864425600535e-02 -8.14478620886802673e-02
 416  +2.03882157802581787e-01 -5.59698045253753662e-02 -4.49165168980489721e-02 -5.59698045253753662e-02
 417  +2.34209388494491577e-01 +2.93484479188919067e-01 +3.03106502228891628e-01 +2.93484479188919067e-01
 418  +2.16225296258926392e-01 +4.73964512348175049e-01 +4.84386827272758502e-01 +4.73964512348175049e-01
 419  +1.86032488942146301e-01 -1.49713620543479919e-01 -1.37599778788813520e-01 -1.49713620543479919e-01
 420  +5.70847131311893463e-02 +3.82266938686370850e-02 +7.77043054507929459e-02 +3.82266938686370850e-02
 421  +2.36667811870574951e-01 -1.78750455379486084e-01 -1.69228382586992104e-01 -1.78750455379486084e-01
 422  +2.00192168354988098e-01 +1.41999199986457825e-02 +2.54569444406597956e-02 +1.41999199986457807e-02
 423  +1.64546921849250793e-01 +3.51022601127624512e-01 +3.64718196930604588e-01 +3.51022601127624512e-01
 424  +1.95004075765609741e-01 -1.76503837108612061e-01 -1.64947319002905268e-01 -1.76503837108612061e-01
 425  +1.86443969607353210e-01 +1.62737742066383362e-01 +1.74824848648687137e-01 +1.62737742066383362e-01
 426  +1.78557142615318298e-01 +1.49156570434570312e-01 +1.61777561671683417e-01 +1.49156570434570312e-01
 427  +1.94120898842811584e-01 -4.86737281084060669e-01 -4.75128185176789508e-01 -4.86737281084060669e-01
 428  +1.65166363120079041e-01 -6.57256484031677246e-01 -6.43612252302523613e-01 -6.57256484031677246e-01
 429  +1.92276909947395325e-01 +5.07021069526672363e-01 +5.18741499883538570e-01 +5.07021069526672363e-01
 430  +9.40578505396842957e-02 +1.42168104648590088e-01 +1.66127488361287989e-01 +1.42168104648590088e-01
